Circuit_Name,Original_console
Jungle DK,3DS
Piste Musicale,3DS
Égout Piranha,3DS
Koopapolis,3DS
Prairie Meuh Meuh,Wii
Volcan Grondant,Wii
Mine d'Or de Wario,Wii
Plage Aquazo,DS
Stade Wario,DS
Horloge Tic-Tac,DS
Désert Sec-Sec,GCN
Royaume Sorbet,GCN
Circuit Yoshi,GCN
Parc Baby,GCN
Circuit Mario,Switch
Pays Fromage,GBA
Route Ruban,GBA
Plaines Beigne 3,SNES
Route Arc-en-ciel,Switch
Autoroute Toad,N64
Autodrome Royal,N64
Vallée Yoshi,N64
Champidrome,Switch
Parc Aquatique,Switch
Canyon Gourmand,Switch
Temple Ka-Bang,Switch
Promenade Toad,Switch
Manoir Englouti,Switch
Chutes Maskache,Switch
Aéroport Azur,Switch
Lagon Tourbillon,Switch
Électrodrome,Switch
Descente Givrée,Switch
Dans les nuages,Switch
Désert Toussec,Switch
Château de Bowser,Switch
Arène d'Excitebike,Switch
Route du dragon,Switch
Mute City,Switch
Station Glagla,Switch
Plaine d'Hyrule,Switch
Passage Feuillage,Switch
Animal Crossing,Switch
Métro Turbo,Switch
Big Blue,Switch
